"Cooperative	 ",Cooperative No,License No
"Albino Multi-purpose Cooperative Society Limited		",,37770-HQ-AMR
Akanjet Multi-Purpose Co-operative Society Limited,420210099202,
"Ambassadors Multi-purpose Co-operative Society Limited		",420230006379,
"August Initiative Multi-Purpose Co-operative Society Limited		",42023005117,
"Awakwilanzi Multi-purpose Co-operative Society Limited		",420200082274,
"Balimi International Multi-Purpose Co-operative Society Limited		",42025041461,
"Bamakaintu Multi-Purpose Co-operative Society Limited		",42022000491,
Bana Babakazhi Bitozhi Multi-Purpose Co-operative Society Limited,42025044589,
BAPE MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED,42026050233,
"Bbendele Small Scale Mining Cooperative Society Limited		",42024028336,
"Blessings Open Pit Mine Cooperative Society Limited		",42023006417,
"Boonse Pamo Multi-purpose Co-operative Society Limited		",42026046444,
"Builder Mining Co-operative Society Limited		",42026047251,
"Buneme Multi-Purpose Co-operative Society Limited		",42026046987,
"By-Faith Multi-Purpose Cooperative Society Limited		",420210096265,
"Capricon Multi-Purpose Co-operative Society Limited		",42022001234,
"Chaamwe Small Scale Mining Co-operative Society Limited		",42023016699,
"Chabana MPCs		",42024029226,
"Chaisa Unity of Purpose Multi-purpose Co-operative Society Limited		",42023016403,
"Chanda Katyetye Multi-purpose Co-operative Society Limited		",42025035408,
"Chibelenga Manual Stone Crushers Multi-Purpose Co-operative Society Limited	",42023009683,
"Chibuyu Disability Mining Cooperative		",42024029156,
"Chifukatila Multi-Purpose Cooperative Society Limited		",420210096288,
"Chiha Mabwe Quarry Multi Purpose  Cooperative Society Limited		",42023008423,
"Chilala Women and Youth MPCs		",420210088851,
"Chileleko Open Pit Mining Co-operative Society Limited		",42025045427,
"Chiligwa Kubeleka Multi-Purpose Co-operative Society Limited		",42024029881,
"Chilobe Mining Co-operative Society Limited		",420190070668,
"Chilubwa Mining Co-operative Society Limited		",42022004951,
"Chiludi Multi-Purpose Cooperative Society Limited		",420220110715,
"Chinda Machiswe Mining Co-operative Society Limited		",42025037975,
"Chintu Umwene Multi - Purpose Co-operative Society Limited	",42025045675,
"Chisekesi Diary Co-operative Society Limited		",42024024596,
Chisisi Agricultural Co-operative Society Limited,22365,
"Chisuki Women in Mining Multi-Purpose Co-operative Society Limited		",42024028732,
"Chizatekama Multi-Purpose Co-operative Society Limited		",420210094826,
"City Mine Multi-Purpose Co-operative Society Limited		",420210094447,
"City Multi-purpose coorperative society limited		",,38503-HQ-AMR
Coonde Caluumuno Multi-Purpose Co-operative Society Limited,420220104842,
"Copperbelt Mining Union Co-operative Limited		",42023017409,
Cray Kachema Multi - Purpose Co-operative Society Limited,42024018019,
"Crom Multi-purpose Cooperative Society Limited		",420220100949,
"Doodo Multi-Purpose Cooperative Society Limited		",42024018286,
"Door-Way Multi-Purpose Co-operative Society Limited		",42022004564,
"Doug Morgar Multi-purpose Cooperative Society Limited		",420190049803,
"Dump Site Multi-Purpose Co-operative Society Limited		",42023008042,
"El Hamineralim Mining Co-operative Society Limited		",42025045387,
"ELIM Multi-purpose Cooperative Society Limited		",420190061028,
"Eternity 20 Multi-purpose Co-operative Society Limited		",420210094265,
"Faya Multi-Purpose Co-operative Society Limited		",42025032512,
Fraveka Multi-Purpose Cooperative Society Limited,420220106698,
"Friends of Economics and Vision Multi-purpose Cooperative		",420220099255,
"Garden of Eden Multi-Purpose Co-operative Society Limited	",42023013462,
"GOD’S TIME MULTIPURPOSE CO-OPERATIVE		",42022000694,
"Golden Horizon Mining Co-operative Society Limited		",42026049401,
"Green Queen Mining Co-operative Society Limited		",42024026427,
"Gumasha Multi-purpose Co-operative Society Limited		",42023006992,
"Gwasha Bantu  Multi- Purpose Cooperative Society Limited		",420220104636,
"Gypsum Giants Mining Co-Operative Society Limited		",42024028541,
"HANSAALI MINING COOPERATIVE		",,
"Hanuunka Mining Cooperative Society Limited		",420220103796,
"Hatwakwe Mining Cooperative Society Limited		",42025031275,
"Hatwiko Mukabwela Multi-Purpose Co-operative Society Limited 		",42023008033,
"Helment Boot Mining Multi-Purpose Co-operative Society Limited		",42022000546,
"His-Mercy Multi-Purpose Co-operative Society Limited		",42022002561,
Hitech National Multi-purpose Cooperative Society Limited,42023007462,
"Hopes Mining Co-operative Society Limited		",42025040420,
"Innovative Youth MPCs		",,
Insikalu Multi-Purpose Co-operative Society Limited,420210096138,
"Jata Mpojisi Multi-purpose Cooperatives Society		",42024019489,
Jata West Multi-Purpose Co-operative Society Limited ,42023017365,
"Kaata Mining Multi-Purpose Co-operative Society Limited		",42024028301,
Kabalumbu Mining Co-operative Society Limited,42023014499,
"Kachiba-Biyo Multi-purpose Co-operative Society Limited		",420220116506,
"Kachoma Mining Cooperative Society Limited (100%)		",,40167-HQ-AMR
"Kalomo Nkumbi Mining Co-operative Union Limited		",42024025519,
"Kaluna- Sianankanga Mining Co-operative Society Limited		",42025042271,
"Kalya Uzumanana Multi-Purpose Co-operative Society Limited	",42023011510,
"Kamusau Small Scale Mining Cooperative Society Limited		",42025044572,
"Kamuyole Multi-purpose Co-operative Society Limited		",42026049267,
"Kanchi Small-Scale Agriculture Cooperative Union Limited		",42022009832,
"Kangila Multi-Purpose Co-operative Society Limited		",42025045318,
"Kanjesheko Multi-Purpose Co-operative Society Limited 		",42026047183,
"Kanyama Development Multi-Purpose Co-operative Society Limited		",42024029133,
"Karoot Multi-Purpose Co-operative Society Limited		",42023006848,
"Kasabelo Women in Mining Co-operative Society Limited		",42025044237,
"kasikili  Mining Co-operative Society Limited		",42024025521,
